materialId,lotId,categoryId,subCategoryId,description,imageRefs,approxWeightKg,unit,quantity,condition,sourceType,estimatedValueInr,classificationSource,createdAt
MAT_000025,LOT_00015,battery,battery_li_ion_mobile,,synthetic://images/battery_li_ion_mobile/ff1b62af353a.jpg,0.37,kg,10,intact,office,66.6,recycler_corrected,2026-06-20T09:48:00.000Z
MAT_000026,LOT_00015,mixed_plastic,plastic_mixed_dirty,,synthetic://images/plastic_mixed_dirty/a76da9ef3fa5.jpg,36.59,kg,1,partially_dismantled,repair_shop,484.85,collector,2026-06-20T09:48:00.000Z
MAT_000027,LOT_00015,pcb,pcb_power_supply,,synthetic://images/pcb_power_supply/d7494fcdf45c.jpg,8.79,kg,8,intact,office,1145.69,collector,2026-06-20T09:48:00.000Z
MAT_000028,LOT_00016,cable,cable_mixed_scrap,,synthetic://images/cable_mixed_scrap/3651c7745c8d.jpg,42.85,kg,1,broken,office,7159.87,collector,2026-05-20T17:24:00.000Z
MAT_000029,LOT_00016,lcd_panel,led_backlight_strip,,synthetic://images/led_backlight_strip/d33cce489d1e.jpg,25.88,kg,1,broken,street_pickup,2248.22,recycler_corrected,2026-05-20T17:24:00.000Z
MAT_000030,LOT_00017,pcb,pcb_motherboard,,synthetic://images/pcb_motherboard/7dc1c96f296b.jpg,5.26,kg,8,broken,office,1486.41,collector,2026-07-19T11:05:00.000Z
MAT_000031,LOT_00017,pcb,pcb_mobile,,synthetic://images/pcb_mobile/5cf80f805dce.jpg,0.08,kg,5,intact,repair_shop,91.47,collector,2026-07-19T11:05:00.000Z
MAT_000032,LOT_00018,battery,battery_li_ion_mobile,,synthetic://images/battery_li_ion_mobile/8de0a3c12953.jpg,0.43,kg,12,intact,street_pickup,84.7,collector,2025-10-14T18:06:00.000Z
MAT_000033,LOT_00019,motor_magnet,motor_hdd_assembly,,synthetic://images/motor_hdd_assembly/540529c3fa1e.jpg,3.01,kg,5,intact,street_pickup,794.55,collector,2025-09-17T13:17:00.000Z
MAT_000034,LOT_00019,mixed_plastic,plastic_abs_casing,,synthetic://images/plastic_abs_casing/31e48a049cbb.jpg,28.63,kg,1,partially_dismantled,household,908.16,collector,2025-09-17T13:17:00.000Z
MAT_000035,LOT_00020,crt,crt_yoke,,synthetic://images/crt_yoke/a0412128675c.jpg,0.95,kg,2,broken,aggregator,55.15,collector,2026-08-24T07:18:00.000Z
MAT_000036,LOT_00021,pcb,pcb_motherboard,,synthetic://images/pcb_motherboard/621d65579a84.jpg,2.39,kg,3,partially_dismantled,street_pickup,813.4,collector,2025-12-30T07:14:00.000Z
MAT_000037,LOT_00022,crt,crt_tv,,synthetic://images/crt_tv/aad5426cad4f.jpg,63.85,kg,4,intact,repair_shop,482.06,collector,2026-08-03T09:26:00.000Z
MAT_000038,LOT_00023,battery,battery_lead_acid_ups,,synthetic://images/battery_lead_acid_ups/3d4c634aa6b4.jpg,79.86,kg,10,intact,street_pickup,6961.31,collector,2026-08-20T13:30:00.000Z
MAT_000039,LOT_00024,motor_magnet,motor_hdd_assembly,,synthetic://images/motor_hdd_assembly/9dd81c180fe2.jpg,1.27,kg,2,partially_dismantled,household,303.72,collector,2025-10-17T19:50:00.000Z
MAT_000040,LOT_00024,pcb,pcb_mobile,,synthetic://images/pcb_mobile/71f097621753.jpg,0.05,kg,2,wet,aggregator,33.56,collector,2025-10-17T19:50:00.000Z
MAT_000041,LOT_00025,mixed_plastic,plastic_abs_casing,,synthetic://images/plastic_abs_casing/1b193ddaf8fb.jpg,15.28,kg,1,broken,office,394.06,collector,2026-07-08T12:19:00.000Z
MAT_000042,LOT_00025,battery,battery_li_ion_laptop,,synthetic://images/battery_li_ion_laptop/4e4a750b869c.jpg,3.52,kg,8,partially_dismantled,street_pickup,834.52,recycler_corrected,2026-07-08T12:19:00.000Z
MAT_000043,LOT_00026,cable,cable_aluminium,,synthetic://images/cable_aluminium/5c6f284c8965.jpg,10.91,kg,1,intact,street_pickup,1550.53,collector,2026-04-25T11:30:00.000Z
MAT_000044,LOT_00026,battery,battery_lead_acid_ups,,synthetic://images/battery_lead_acid_ups/15a56fcc593d.jpg,42.34,kg,8,intact,street_pickup,3869.88,collector,2026-04-25T11:30:00.000Z
MAT_000045,LOT_00026,battery,battery_li_ion_mobile,,synthetic://images/battery_li_ion_mobile/377fd2f743b0.jpg,0.15,kg,3,partially_dismantled,office,30.88,collector,2026-04-25T11:30:00.000Z
MAT_000046,LOT_00027,motor_magnet,motor_hdd_assembly,,synthetic://images/motor_hdd_assembly/e09430f335c2.jpg,5.13,kg,11,partially_dismantled,shop,1416.7,recycler_corrected,2025-10-16T13:09:00.000Z
MAT_000047,LOT_00027,mixed_plastic,plastic_hips_tv,,synthetic://images/plastic_hips_tv/b6f66d66491c.jpg,40.68,kg,1,broken,household,880.97,collector,2025-10-16T13:09:00.000Z
MAT_000048,LOT_00028,mixed_plastic,plastic_hips_tv,,synthetic://images/plastic_hips_tv/a0daf8d1c171.jpg,24.59,kg,1,intact,aggregator,611.55,collector,2025-11-16T10:47:00.000Z
MAT_000049,LOT_00028,mixed_plastic,plastic_mixed_dirty,,synthetic://images/plastic_mixed_dirty/f065866b4f2d.jpg,16.14,kg,1,intact,shop,188.52,recycler_corrected,2025-11-16T10:47:00.000Z
MAT_000050,LOT_00029,cable,cable_aluminium,,synthetic://images/cable_aluminium/b085c30616cc.jpg,16.8,kg,1,partially_dismantled,shop,2388.1,collector,2026-01-23T15:22:00.000Z
MAT_000051,LOT_00030,motor_magnet,motor_speaker_magnet,,synthetic://images/motor_speaker_magnet/862fdc7cdbca.jpg,0.63,kg,2,intact,street_pickup,44.67,collector,2026-05-28T15:24:00.000Z
MAT_000052,LOT_00030,lcd_panel,lcd_tv_panel,,synthetic://images/lcd_tv_panel/12ec1a70420c.jpg,74.46,kg,9,intact,repair_shop,1569.16,collector,2026-05-28T15:24:00.000Z
MAT_000053,LOT_00030,pcb,pcb_ram_gold,,synthetic://images/pcb_ram_gold/141f5dbc0ac5.jpg,0.4,kg,11,broken,street_pickup,530.07,collector,2026-05-28T15:24:00.000Z
MAT_000054,LOT_00030,mixed_plastic,plastic_mixed_dirty,,synthetic://images/plastic_mixed_dirty/d071fdbccca3.jpg,11.47,kg,1,broken,street_pickup,111.27,collector,2026-05-28T15:24:00.000Z
MAT_000055,LOT_00031,cable,cable_mixed_scrap,,synthetic://images/cable_mixed_scrap/8a2ccbe8c2ac.jpg,28.55,kg,1,partially_dismantled,street_pickup,5924.75,collector,2026-06-07T08:55:00.000Z
MAT_000056,LOT_00032,battery,battery_li_ion_laptop,,synthetic://images/battery_li_ion_laptop/f3d3027a1590.jpg,3.09,kg,9,broken,household,660.61,collector,2025-10-24T14:58:00.000Z
MAT_000057,LOT_00032,lcd_panel,lcd_laptop_panel,,synthetic://images/lcd_laptop_panel/b4e59e4b35b8.jpg,2.07,kg,5,broken,office,90.25,collector,2025-10-24T14:58:00.000Z
MAT_000058,LOT_00032,lcd_panel,lcd_tv_panel,,synthetic://images/lcd_tv_panel/aa6ec0719de8.jpg,18.97,kg,3,intact,aggregator,405.39,collector,2025-10-24T14:58:00.000Z
MAT_000059,LOT_00033,pcb,pcb_power_supply,,synthetic://images/pcb_power_supply/50f09137ea50.jpg,8.03,kg,7,burnt,shop,484.43,collector,2025-12-28T16:12:00.000Z
MAT_000060,LOT_00033,mixed_plastic,plastic_mixed_dirty,,synthetic://images/plastic_mixed_dirty/cec41a3b059b.jpg,30.17,kg,1,partially_dismantled,aggregator,303.48,collector,2025-12-28T16:12:00.000Z
MAT_000061,LOT_00034,mixed_plastic,plastic_abs_casing,,synthetic://images/plastic_abs_casing/07c5c8026691.jpg,2.21,kg,1,partially_dismantled,street_pickup,77.83,collector,2025-10-04T16:11:00.000Z
MAT_000062,LOT_00035,crt,crt_yoke,,synthetic://images/crt_yoke/4d3a42eabadd.jpg,2.29,kg,4,burnt,household,79.32,collector,2026-04-03T06:06:00.000Z
MAT_000063,LOT_00035,cable,cable_aluminium,,synthetic://images/cable_aluminium/5a9561de911b.jpg,8.32,kg,1,partially_dismantled,office,1241.56,collector,2026-04-03T06:06:00.000Z
MAT_000064,LOT_00035,pcb,pcb_motherboard,,synthetic://images/pcb_motherboard/2410f8569c75.jpg,1.95,kg,3,partially_dismantled,repair_shop,675.58,collector,2026-04-03T06:06:00.000Z
MAT_000065,LOT_00036,battery,battery_button_cell,,synthetic://images/battery_button_cell/4416df8ba720.jpg,36.28,kg,1,broken,office,2952.65,collector,2025-10-19T15:56:00.000Z
MAT_000066,LOT_00037,cable,cable_aluminium,,synthetic://images/cable_aluminium/62e7196a4011.jpg,7.78,kg,1,broken,aggregator,872.03,collector,2026-01-06T10:52:00.000Z
MAT_000067,LOT_00038,cable,cable_copper_house,,synthetic://images/cable_copper_house/0da77e0bced4.jpg,30.9,kg,1,intact,street_pickup,14047.14,collector,2025-12-26T19:43:00.000Z
MAT_000068,LOT_00038,mixed_plastic,plastic_hips_tv,,synthetic://images/plastic_hips_tv/c73aaf3e925b.jpg,30.06,kg,1,broken,repair_shop,650,collector,2025-12-26T19:43:00.000Z
MAT_000069,LOT_00039,pcb,pcb_cpu_processor,,synthetic://images/pcb_cpu_processor/5f6f818dc890.jpg,0.06,kg,3,intact,street_pickup,286.19,collector,2026-05-11T15:41:00.000Z
MAT_000070,LOT_00040,pcb,pcb_motherboard,,synthetic://images/pcb_motherboard/ee134a7f59b3.jpg,7.33,kg,10,intact,household,2355.06,collector,2026-05-09T18:26:00.000Z
MAT_000071,LOT_00040,battery,battery_li_ion_mobile,,synthetic://images/battery_li_ion_mobile/63beb63399cf.jpg,0.15,kg,3,intact,repair_shop,27.57,recycler_corrected,2026-05-09T18:26:00.000Z
MAT_000072,LOT_00040,pcb,pcb_mobile,,synthetic://images/pcb_mobile/c0b3b77d9443.jpg,0.08,kg,5,broken,office,72.91,collector,2026-05-09T18:26:00.000Z
MAT_000073,LOT_00041,mixed_plastic,plastic_mixed_dirty,,synthetic://images/plastic_mixed_dirty/d534c9cff839.jpg,14.43,kg,1,intact,household,170.71,collector,2026-05-09T13:51:00.000Z
MAT_000074,LOT_00042,motor_magnet,motor_hdd_assembly,,synthetic://images/motor_hdd_assembly/ccd25d6e2996.jpg,5.41,kg,12,intact,repair_shop,1493.21,collector,2026-04-18T18:57:00.000Z
MAT_000075,LOT_00043,crt,crt_yoke,,synthetic://images/crt_yoke/2da11441449f.jpg,0.96,kg,2,intact,household,68.4,recycler_corrected,2026-07-04T17:57:00.000Z
MAT_000076,LOT_00044,cable,cable_data_thin,,synthetic://images/cable_data_thin/e282f4ebdf8a.jpg,29.17,kg,1,broken,shop,3752.24,collector,2026-01-02T15:47:00.000Z
MAT_000077,LOT_00044,battery,battery_li_ion_mobile,,synthetic://images/battery_li_ion_mobile/fb34f53f0805.jpg,0.49,kg,11,intact,street_pickup,107.05,collector,2026-01-02T15:47:00.000Z
MAT_000078,LOT_00044,cable,cable_aluminium,,synthetic://images/cable_aluminium/fd2ec7477cd0.jpg,13.39,kg,1,intact,aggregator,2113.21,collector,2026-01-02T15:47:00.000Z
MAT_000079,LOT_00045,mixed_plastic,plastic_abs_casing,,synthetic://images/plastic_abs_casing/d3431366a650.jpg,30.02,kg,1,intact,office,909.91,collector,2025-12-12T14:36:00.000Z
MAT_000080,LOT_00045,pcb,pcb_tv_low_grade,,synthetic://images/pcb_tv_low_grade/837a361616e7.jpg,3.5,kg,6,intact,aggregator,366.98,collector,2025-12-12T14:36:00.000Z
MAT_000081,LOT_00045,pcb,pcb_ram_gold,,synthetic://images/pcb_ram_gold/38e4e5bef423.jpg,0.21,kg,8,partially_dismantled,repair_shop,306.04,collector,2025-12-12T14:36:00.000Z
MAT_000082,LOT_00046,pcb,pcb_power_supply,,synthetic://images/pcb_power_supply/569039ece5a6.jpg,2.01,kg,2,partially_dismantled,repair_shop,297.24,collector,2025-09-18T12:24:00.000Z
MAT_000083,LOT_00047,pcb,pcb_power_supply,,synthetic://images/pcb_power_supply/acd7c60214b8.jpg,2.85,kg,3,intact,household,375.43,collector,2025-09-04T15:27:00.000Z
MAT_000084,LOT_00047,pcb,pcb_ram_gold,,synthetic://images/pcb_ram_gold/2692242f59f3.jpg,0.26,kg,8,intact,repair_shop,366.68,recycler_corrected,2025-09-04T15:27:00.000Z
MAT_000085,LOT_00047,lcd_panel,lcd_monitor_panel,,synthetic://images/lcd_monitor_panel/ca39ae72006c.jpg,26.83,kg,6,intact,repair_shop,596.16,collector,2025-09-04T15:27:00.000Z
MAT_000086,LOT_00048,mixed_plastic,plastic_abs_casing,,synthetic://images/plastic_abs_casing/f57be718fb74.jpg,5.52,kg,1,intact,office,214.95,collector,2025-11-15T10:26:00.000Z
MAT_000087,LOT_00048,cable,cable_copper_house,,synthetic://images/cable_copper_house/85e793645428.jpg,36.46,kg,1,burnt,street_pickup,7511.29,collector,2025-11-15T10:26:00.000Z
MAT_000088,LOT_00049,motor_magnet,motor_fan_ac,,synthetic://images/motor_fan_ac/b92dc724d006.jpg,2.58,kg,1,intact,street_pickup,369.89,collector,2025-11-28T18:47:00.000Z
MAT_000089,LOT_00050,motor_magnet,motor_speaker_magnet,,synthetic://images/motor_speaker_magnet/819dbc21b438.jpg,6.09,kg,12,intact,aggregator,450.48,collector,2026-04-04T14:18:00.000Z
MAT_000090,LOT_00051,mixed_plastic,plastic_hips_tv,,synthetic://images/plastic_hips_tv/672d2f567149.jpg,42.82,kg,1,intact,office,1096.62,collector,2026-04-23T14:40:00.000Z
MAT_000091,LOT_00052,pcb,pcb_tv_low_grade,,synthetic://images/pcb_tv_low_grade/02bab8341e09.jpg,1.2,kg,2,intact,shop,140.37,collector,2026-05-01T13:56:00.000Z
MAT_000092,LOT_00052,mixed_plastic,plastic_abs_casing,,synthetic://images/plastic_abs_casing/d24d3896f7e7.jpg,30.98,kg,1,broken,repair_shop,893.44,collector,2026-05-01T13:56:00.000Z
MAT_000093,LOT_00053,pcb,pcb_cpu_processor,,synthetic://images/pcb_cpu_processor/e618e3fba9bc.jpg,0.19,kg,8,partially_dismantled,household,842.38,collector,2026-01-17T11:35:00.000Z
MAT_000094,LOT_00054,mixed_plastic,plastic_hips_tv,,synthetic://images/plastic_hips_tv/5aee67fab0fa.jpg,3.36,kg,1,intact,shop,81.51,recycler_corrected,2026-08-26T12:16:00.000Z
MAT_000095,LOT_00054,cable,cable_mixed_scrap,,synthetic://images/cable_mixed_scrap/983edb208c3c.jpg,43.56,kg,1,intact,office,9195.52,collector,2026-08-26T12:16:00.000Z
MAT_000096,LOT_00054,crt,crt_monitor,,synthetic://images/crt_monitor/8a66d6dde8b5.jpg,26.52,kg,2,broken,shop,168.97,recycler_corrected,2026-08-26T12:16:00.000Z
MAT_000097,LOT_00055,crt,crt_yoke,,synthetic://images/crt_yoke/4ece218882c6.jpg,4.02,kg,6,broken,repair_shop,253.46,collector,2026-01-28T18:36:00.000Z
MAT_000098,LOT_00056,motor_magnet,motor_small_appliance,,synthetic://images/motor_small_appliance/05aab7003df9.jpg,7.34,kg,4,broken,street_pickup,662.43,collector,2026-08-02T11:52:00.000Z
MAT_000099,LOT_00056,cable,cable_copper_house,,synthetic://images/cable_copper_house/3dbb9cf27052.jpg,20.89,kg,1,partially_dismantled,repair_shop,8406.18,collector,2026-08-02T11:52:00.000Z
MAT_000100,LOT_00056,pcb,pcb_ram_gold,,synthetic://images/pcb_ram_gold/f66ff72ee4af.jpg,0.09,kg,3,broken,aggregator,102.34,collector,2026-08-02T11:52:00.000Z
MAT_000101,LOT_00057,lcd_panel,lcd_laptop_panel,,synthetic://images/lcd_laptop_panel/1995ca2e151c.jpg,2.88,kg,6,broken,household,108.02,collector,2026-02-07T16:41:00.000Z
MAT_000102,LOT_00058,lcd_panel,lcd_laptop_panel,,synthetic://images/lcd_laptop_panel/19ee4823e564.jpg,4.46,kg,8,partially_dismantled,street_pickup,237.1,collector,2026-03-24T16:51:00.000Z
MAT_000103,LOT_00058,motor_magnet,motor_small_appliance,,synthetic://images/motor_small_appliance/72d61a627f81.jpg,11.57,kg,7,intact,shop,1469.74,collector,2026-03-24T16:51:00.000Z
MAT_000104,LOT_00058,pcb,pcb_tv_low_grade,,synthetic://images/pcb_tv_low_grade/7b392b2590bb.jpg,5.44,kg,12,partially_dismantled,aggregator,695.72,collector,2026-03-24T16:51:00.000Z
MAT_000105,LOT_00059,cable,cable_aluminium,,synthetic://images/cable_aluminium/8a69e8a56bc5.jpg,24.88,kg,1,partially_dismantled,shop,3559.66,collector,2026-03-15T13:59:00.000Z
MAT_000106,LOT_00060,cable,cable_copper_house,,synthetic://images/cable_copper_house/169cefd27af4.jpg,7.99,kg,1,burnt,repair_shop,1218.62,collector,2025-11-07T11:43:00.000Z
MAT_000107,LOT_00060,cable,cable_mixed_scrap,,synthetic://images/cable_mixed_scrap/366d6c04b032.jpg,3.13,kg,1,broken,shop,503.67,collector,2025-11-07T11:43:00.000Z
MAT_000108,LOT_00060,pcb,pcb_motherboard,,synthetic://images/pcb_motherboard/2fd7c7a69cd2.jpg,6.78,kg,7,broken,household,1561.64,collector,2025-11-07T11:43:00.000Z
MAT_000109,LOT_00061,pcb,pcb_motherboard,,synthetic://images/pcb_motherboard/2a33f17f5059.jpg,7.26,kg,12,broken,street_pickup,1968.07,recycler_corrected,2026-01-10T13:39:00.000Z
MAT_000110,LOT_00062,lcd_panel,lcd_monitor_panel,,synthetic://images/lcd_monitor_panel/0a03ae3eeab7.jpg,30.95,kg,7,broken,household,697.16,collector,2025-10-29T15:37:00.000Z
MAT_000111,LOT_00062,mixed_plastic,plastic_mixed_dirty,,synthetic://images/plastic_mixed_dirty/751ad1d80061.jpg,42.65,kg,1,intact,repair_shop,491.33,collector,2025-10-29T15:37:00.000Z
MAT_000112,LOT_00063,lcd_panel,lcd_monitor_panel,,synthetic://images/lcd_monitor_panel/b54f123ffdb4.jpg,41.08,kg,10,broken,aggregator,786.56,collector,2026-05-22T06:38:00.000Z
MAT_000113,LOT_00064,pcb,pcb_ram_gold,,synthetic://images/pcb_ram_gold/52cca263067d.jpg,0.29,kg,8,broken,street_pickup,384.3,collector,2026-07-26T09:38:00.000Z
MAT_000114,LOT_00064,cable,cable_data_thin,,synthetic://images/cable_data_thin/37b753016d45.jpg,10.38,kg,1,partially_dismantled,shop,1636.48,collector,2026-07-26T09:38:00.000Z
MAT_000115,LOT_00065,cable,cable_mixed_scrap,,synthetic://images/cable_mixed_scrap/5e158678ae7f.jpg,19.47,kg,1,partially_dismantled,aggregator,3874.86,collector,2026-06-16T13:51:00.000Z
MAT_000116,LOT_00065,battery,battery_li_ion_laptop,,synthetic://images/battery_li_ion_laptop/575f5786a137.jpg,2.82,kg,8,partially_dismantled,street_pickup,640.38,collector,2026-06-16T13:51:00.000Z
MAT_000117,LOT_00066,pcb,pcb_tv_low_grade,,synthetic://images/pcb_tv_low_grade/2a576365da19.jpg,1.15,kg,2,intact,repair_shop,125.63,collector,2025-11-30T14:45:00.000Z
MAT_000118,LOT_00066,pcb,pcb_cpu_processor,,synthetic://images/pcb_cpu_processor/91631ac92de7.jpg,0.16,kg,7,intact,street_pickup,655.81,collector,2025-11-30T14:45:00.000Z
MAT_000119,LOT_00067,mixed_plastic,plastic_abs_casing,,synthetic://images/plastic_abs_casing/984718ee4e52.jpg,25.81,kg,1,intact,repair_shop,780.49,collector,2025-10-23T06:00:00.000Z
MAT_000120,LOT_00067,motor_magnet,motor_small_appliance,,synthetic://images/motor_small_appliance/e5e29af13453.jpg,13.73,kg,8,burnt,street_pickup,743.71,collector,2025-10-23T06:00:00.000Z
MAT_000121,LOT_00068,cable,cable_data_thin,,synthetic://images/cable_data_thin/c7d7c8f51928.jpg,40.22,kg,1,broken,household,4780.18,collector,2026-03-24T14:00:00.000Z
MAT_000122,LOT_00068,lcd_panel,lcd_laptop_panel,,synthetic://images/lcd_laptop_panel/b44ccc1d491e.jpg,2.4,kg,6,intact,street_pickup,134.5,collector,2026-03-24T14:00:00.000Z
MAT_000123,LOT_00069,cable,cable_aluminium,,synthetic://images/cable_aluminium/27c4aaaa6624.jpg,24.77,kg,1,partially_dismantled,office,3696.33,recycler_corrected,2026-04-20T16:43:00.000Z
MAT_000124,LOT_00069,motor_magnet,motor_fan_ac,,synthetic://images/motor_fan_ac/094ac4ce143d.jpg,34.34,kg,9,partially_dismantled,household,5835.1,recycler_corrected,2026-04-20T16:43:00.000Z
MAT_000125,LOT_00070,motor_magnet,motor_small_appliance,,synthetic://images/motor_small_appliance/396fe7eb4f86.jpg,14.53,kg,9,partially_dismantled,aggregator,1816.9,collector,2026-03-11T08:07:00.000Z
MAT_000126,LOT_00070,pcb,pcb_tv_low_grade,,synthetic://images/pcb_tv_low_grade/ea786f41425f.jpg,2.58,kg,4,partially_dismantled,street_pickup,278.32,collector,2026-03-11T08:07:00.000Z
MAT_000127,LOT_00071,pcb,pcb_mobile,,synthetic://images/pcb_mobile/61326890486e.jpg,0.07,kg,4,intact,household,79.4,collector,2025-11-16T06:52:00.000Z
MAT_000128,LOT_00072,battery,battery_lead_acid_ups,,synthetic://images/battery_lead_acid_ups/98186b9fba9e.jpg,67.27,kg,12,partially_dismantled,office,6243.62,collector,2025-09-04T15:56:00.000Z
MAT_000129,LOT_00073,cable,cable_mixed_scrap,,synthetic://images/cable_mixed_scrap/2213d36d43cf.jpg,17.66,kg,1,wet,shop,2528.89,collector,2026-06-09T15:38:00.000Z
MAT_000130,LOT_00074,mixed_plastic,plastic_mixed_dirty,,synthetic://images/plastic_mixed_dirty/a9efc1f62310.jpg,3.29,kg,1,wet,aggregator,28.4,recycler_corrected,2026-08-01T16:03:00.000Z
MAT_000131,LOT_00075,cable,cable_copper_house,,synthetic://images/cable_copper_house/c2002a07f83e.jpg,25.92,kg,1,broken,aggregator,8477.74,collector,2026-01-23T06:50:00.000Z
MAT_000132,LOT_00075,cable,cable_data_thin,,synthetic://images/cable_data_thin/b85f9cea55eb.jpg,39.32,kg,1,partially_dismantled,repair_shop,5298.65,recycler_corrected,2026-01-23T06:50:00.000Z
MAT_000133,LOT_00076,lcd_panel,lcd_tv_panel,,synthetic://images/lcd_tv_panel/b89f2d81b5b6.jpg,112.92,kg,12,wet,aggregator,1715.42,collector,2026-05-08T10:58:00.000Z
MAT_000134,LOT_00077,pcb,pcb_ram_gold,,synthetic://images/pcb_ram_gold/e3e1cedce12b.jpg,0.38,kg,11,broken,aggregator,426.3,collector,2026-03-14T09:00:00.000Z
MAT_000135,LOT_00078,battery,battery_li_ion_mobile,,synthetic://images/battery_li_ion_mobile/1f3befed5b21.jpg,0.17,kg,4,wet,household,23.33,collector,2026-04-06T15:54:00.000Z
