sampleId,imageRef,imageHash,labelCategoryId,labelSubCategoryId,labelSource,weightKg,district,observedPriceInr,finalPriceInr,capturedAt,split,synthetic
TRN_000033,synthetic://images/motor_hdd_assembly/9434ec956340.jpg,9434ec956340,motor_magnet,motor_hdd_assembly,collector,3.95,Thane,1107.74,972.06,2025-11-14T15:06:00.000Z,train,true
TRN_000034,synthetic://images/battery_li_ion_mobile/24a3a658b755.jpg,24a3a658b755,battery,battery_li_ion_mobile,collector,0.11,Thane,21.18,18.59,2025-11-14T15:06:00.000Z,train,true
TRN_000035,synthetic://images/motor_speaker_magnet/dde38c22a1ff.jpg,dde38c22a1ff,motor_magnet,motor_speaker_magnet,collector,0.96,Thane,66.77,58.59,2025-11-14T15:06:00.000Z,val,true
TRN_000036,synthetic://images/crt_tv/7111c5c67043.jpg,7111c5c67043,crt,crt_tv,collector,163.71,Thane,539.5,517.41,2025-10-08T16:30:00.000Z,train,true
TRN_000037,synthetic://images/motor_fan_ac/c0758e76a4cf.jpg,c0758e76a4cf,motor_magnet,motor_fan_ac,collector,18.49,Thane,3067.69,2942.08,2025-10-08T16:30:00.000Z,train,true
TRN_000038,synthetic://images/pcb_cpu_processor/a2352379621d.jpg,a2352379621d,pcb,pcb_cpu_processor,recycler_corrected,0.09,Thane,301.91,289.55,2025-10-08T16:30:00.000Z,train,true
TRN_000039,synthetic://images/plastic_abs_casing/83a8f1489146.jpg,83a8f1489146,mixed_plastic,plastic_abs_casing,collector,33.74,Mumbai Suburban,1177.19,1003.62,2026-01-09T12:27:00.000Z,train,true
TRN_000040,synthetic://images/plastic_mixed_dirty/8492e3a11873.jpg,8492e3a11873,mixed_plastic,plastic_mixed_dirty,recycler_corrected,25.22,Pune,309.7,289.83,2025-10-31T14:20:00.000Z,train,true
TRN_000041,synthetic://images/pcb_tv_low_grade/fb6083ed0a47.jpg,fb6083ed0a47,pcb,pcb_tv_low_grade,collector,0.57,Mumbai Suburban,66.67,61.2,2026-07-08T16:36:00.000Z,test,true
TRN_000042,synthetic://images/plastic_abs_casing/5f2fff60b42b.jpg,5f2fff60b42b,mixed_plastic,plastic_abs_casing,collector,2.91,Pune,97.16,89.66,2025-11-11T19:20:00.000Z,train,true
TRN_000043,synthetic://images/plastic_abs_casing/193ddaf8fb60.jpg,193ddaf8fb60,mixed_plastic,plastic_abs_casing,collector,5.37,Mumbai Suburban,154.87,140.71,2026-05-05T12:51:00.000Z,train,true
TRN_000044,synthetic://images/lcd_tv_panel/70cb2ccab3a6.jpg,70cb2ccab3a6,lcd_panel,lcd_tv_panel,collector,89.32,Pune,863.19,480.17,2026-01-13T18:33:00.000Z,test,true
TRN_000045,synthetic://images/battery_li_ion_laptop/8d7325c6f284.jpg,8d7325c6f284,battery,battery_li_ion_laptop,collector,1.99,Pune,414.85,230.77,2026-01-13T18:33:00.000Z,train,true
TRN_000046,synthetic://images/pcb_ram_gold/d6896c9c59ef.jpg,d6896c9c59ef,pcb,pcb_ram_gold,collector,0.24,New Delhi,445.14,430.75,2026-05-02T14:11:00.000Z,train,true
TRN_000047,synthetic://images/lcd_monitor_panel/b4f5adad0fed.jpg,b4f5adad0fed,lcd_panel,lcd_monitor_panel,collector,35.93,New Delhi,958.97,927.97,2026-05-02T14:11:00.000Z,val,true
TRN_000048,synthetic://images/crt_yoke/5c21f606e3c4.jpg,5c21f606e3c4,crt,crt_yoke,recycler_corrected,6.16,New Delhi,552.49,534.63,2026-05-02T14:11:00.000Z,test,true
TRN_000049,synthetic://images/cable_copper_house/72a7714d8efa.jpg,72a7714d8efa,cable,cable_copper_house,recycler_corrected,37.51,Nashik,13260.7,11831.42,2025-12-13T17:33:00.000Z,train,true
TRN_000050,synthetic://images/cable_mixed_scrap/0daf8d1c1712.jpg,0daf8d1c1712,cable,cable_mixed_scrap,recycler_corrected,10.08,Nashik,2077,1853.14,2025-12-13T17:33:00.000Z,test,true
TRN_000051,synthetic://images/cable_copper_house/edd5c4fe09a0.jpg,edd5c4fe09a0,cable,cable_copper_house,collector,24.7,Pune,9781.2,,2026-06-23T17:55:00.000Z,train,true
TRN_000052,synthetic://images/motor_small_appliance/a5585ab085c3.jpg,a5585ab085c3,motor_magnet,motor_small_appliance,recycler_corrected,17.81,Pune,2512.97,,2026-06-23T17:55:00.000Z,train,true
TRN_000053,synthetic://images/motor_hdd_assembly/3a2a3f89b45b.jpg,3a2a3f89b45b,motor_magnet,motor_hdd_assembly,collector,1.68,Pune,446.39,,2026-06-23T17:55:00.000Z,train,true
TRN_000054,synthetic://images/lcd_monitor_panel/146510cce00a.jpg,146510cce00a,lcd_panel,lcd_monitor_panel,collector,10.24,Pune,244.74,,2026-06-23T17:55:00.000Z,train,true
TRN_000055,synthetic://images/cable_mixed_scrap/c97969c2cf1b.jpg,c97969c2cf1b,cable,cable_mixed_scrap,collector,18.37,Nagpur,3398.45,,2026-08-10T16:50:00.000Z,train,true
TRN_000056,synthetic://images/pcb_cpu_processor/cc9a1d81a845.jpg,cc9a1d81a845,pcb,pcb_cpu_processor,collector,0.27,Nagpur,835.62,,2026-08-10T16:50:00.000Z,test,true
TRN_000057,synthetic://images/cable_copper_house/1d757b8ea56f.jpg,1d757b8ea56f,cable,cable_copper_house,collector,15.82,Mumbai Suburban,5897.25,6005.91,2025-12-07T13:09:00.000Z,train,true
TRN_000058,synthetic://images/motor_speaker_magnet/83cb9a6fb90a.jpg,83cb9a6fb90a,motor_magnet,motor_speaker_magnet,collector,3.98,Mumbai Suburban,293.88,299.29,2025-12-07T13:09:00.000Z,train,true
TRN_000059,synthetic://images/battery_li_ion_laptop/01341ff18470.jpg,01341ff18470,battery,battery_li_ion_laptop,collector,0.65,Bengaluru Urban,144.74,146.21,2026-06-11T06:11:00.000Z,train,true
TRN_000060,synthetic://images/motor_hdd_assembly/88aa58091451.jpg,88aa58091451,motor_magnet,motor_hdd_assembly,collector,1.56,Bengaluru Urban,352.02,355.61,2026-06-11T06:11:00.000Z,train,true
TRN_000061,synthetic://images/battery_li_ion_mobile/2c867f03aa68.jpg,2c867f03aa68,battery,battery_li_ion_mobile,collector,0.35,Mumbai Suburban,69.43,69.52,2026-01-02T09:13:00.000Z,train,true
TRN_000062,synthetic://images/pcb_power_supply/064f2e479ecf.jpg,064f2e479ecf,pcb,pcb_power_supply,collector,16.55,Mumbai Suburban,2496.07,2499.49,2026-01-02T09:13:00.000Z,train,true
TRN_000063,synthetic://images/battery_li_ion_mobile/b1104e905c13.jpg,b1104e905c13,battery,battery_li_ion_mobile,recycler_corrected,0.29,Mumbai Suburban,57.23,,2026-02-24T18:14:00.000Z,train,true
TRN_000064,synthetic://images/cable_data_thin/3a680f8f0ab2.jpg,3a680f8f0ab2,cable,cable_data_thin,collector,16.46,Pune,2237.11,,2025-10-22T18:32:00.000Z,train,true
TRN_000065,synthetic://images/cable_mixed_scrap/1b045e4d3a42.jpg,1b045e4d3a42,cable,cable_mixed_scrap,collector,19.21,Pune,3648.17,,2025-10-22T18:32:00.000Z,train,true
TRN_000066,synthetic://images/battery_lead_acid_ups/561de911beb0.jpg,561de911beb0,battery,battery_lead_acid_ups,collector,39.14,Pune,3547.9,3376.98,2026-07-08T15:31:00.000Z,val,true
TRN_000067,synthetic://images/cable_data_thin/dcba4317a413.jpg,dcba4317a413,cable,cable_data_thin,recycler_corrected,17.47,Mumbai Suburban,2672.1,2658.19,2026-02-05T10:30:00.000Z,val,true
TRN_000068,synthetic://images/motor_speaker_magnet/be27d71cf364.jpg,be27d71cf364,motor_magnet,motor_speaker_magnet,collector,1.29,Mumbai Suburban,40.49,40.28,2026-02-05T10:30:00.000Z,train,true
TRN_000069,synthetic://images/cable_data_thin/0115e3a0532c.jpg,0115e3a0532c,cable,cable_data_thin,collector,30.87,Pune,3997.05,4435.61,2025-09-24T12:04:00.000Z,train,true
TRN_000070,synthetic://images/lcd_laptop_panel/70fd968e5665.jpg,70fd968e5665,lcd_panel,lcd_laptop_panel,collector,3.63,Pune,177.77,197.27,2025-09-24T12:04:00.000Z,train,true
TRN_000071,synthetic://images/motor_hdd_assembly/aaf3e925b6b1.jpg,aaf3e925b6b1,motor_magnet,motor_hdd_assembly,collector,5.53,Mumbai Suburban,1451.74,1287.02,2025-12-04T10:56:00.000Z,train,true
TRN_000072,synthetic://images/battery_li_ion_mobile/6c4a79863d6a.jpg,6c4a79863d6a,battery,battery_li_ion_mobile,recycler_corrected,0.32,Mumbai Suburban,63.03,55.88,2025-12-04T10:56:00.000Z,test,true
TRN_000073,synthetic://images/motor_small_appliance/35d7d2d42ee1.jpg,35d7d2d42ee1,motor_magnet,motor_small_appliance,recycler_corrected,13.16,Pune,1769.49,1590.93,2026-08-23T12:40:00.000Z,train,true
TRN_000074,synthetic://images/plastic_abs_casing/e17f1093d463.jpg,e17f1093d463,mixed_plastic,plastic_abs_casing,collector,17.34,Pune,570.31,512.76,2026-08-23T12:40:00.000Z,train,true
TRN_000075,synthetic://images/cable_mixed_scrap/3d4c2ad9de7a.jpg,3d4c2ad9de7a,cable,cable_mixed_scrap,collector,13.01,Chhatrapati Sambhajinagar,2372.63,,2025-12-16T12:28:00.000Z,train,true
TRN_000076,synthetic://images/cable_copper_house/2b4432efdf8b.jpg,2b4432efdf8b,cable,cable_copper_house,collector,37.64,Chhatrapati Sambhajinagar,10516.25,,2025-12-16T12:28:00.000Z,train,true
TRN_000077,synthetic://images/motor_small_appliance/4dbed0804d6a.jpg,4dbed0804d6a,motor_magnet,motor_small_appliance,collector,11.99,Chhatrapati Sambhajinagar,1352.47,,2025-12-16T12:28:00.000Z,train,true
TRN_000078,synthetic://images/cable_copper_house/2f3d7eb950a8.jpg,2f3d7eb950a8,cable,cable_copper_house,collector,34.22,Pune,14351.2,14090.84,2025-12-30T09:04:00.000Z,train,true
TRN_000079,synthetic://images/plastic_hips_tv/a31d93abfc14.jpg,a31d93abfc14,mixed_plastic,plastic_hips_tv,collector,24.55,Mumbai Suburban,530.85,529.35,2025-12-28T06:26:00.000Z,test,true
TRN_000080,synthetic://images/cable_copper_house/87c931a4e027.jpg,87c931a4e027,cable,cable_copper_house,collector,29.63,Thane,13374.21,,2026-09-01T16:12:00.000Z,train,true
TRN_000081,synthetic://images/battery_li_ion_laptop/df5faf728337.jpg,df5faf728337,battery,battery_li_ion_laptop,collector,2.8,Nagpur,632.54,582.23,2026-05-10T06:45:00.000Z,train,true
TRN_000082,synthetic://images/crt_monitor/f3ef93fb656b.jpg,f3ef93fb656b,crt,crt_monitor,collector,139.07,Nagpur,878.59,808.71,2026-05-10T06:45:00.000Z,val,true
TRN_000083,synthetic://images/cable_aluminium/89693909db05.jpg,89693909db05,cable,cable_aluminium,collector,8.33,New Delhi,1112.5,,2026-08-01T06:47:00.000Z,train,true
TRN_000084,synthetic://images/motor_fan_ac/d1834d56a49f.jpg,d1834d56a49f,motor_magnet,motor_fan_ac,collector,28.61,New Delhi,4542.42,,2026-08-01T06:47:00.000Z,val,true
TRN_000085,synthetic://images/plastic_hips_tv/4a9f2c8aad8e.jpg,4a9f2c8aad8e,mixed_plastic,plastic_hips_tv,collector,39.47,Pune,954.86,1000.1,2026-08-29T17:49:00.000Z,train,true
TRN_000086,synthetic://images/crt_tv/ce5a68265f46.jpg,ce5a68265f46,crt,crt_tv,collector,57.58,Pune,301.52,315.8,2026-08-29T17:49:00.000Z,train,true
TRN_000087,synthetic://images/motor_small_appliance/5acd7c60214b.jpg,5acd7c60214b,motor_magnet,motor_small_appliance,collector,5.22,Thane,694.83,664.08,2026-06-05T19:42:00.000Z,val,true
TRN_000088,synthetic://images/pcb_ram_gold/12692242f59f.jpg,12692242f59f,pcb,pcb_ram_gold,collector,0.1,Thane,159.6,152.54,2026-06-05T19:42:00.000Z,train,true
TRN_000089,synthetic://images/plastic_abs_casing/7d87d3feb6d5.jpg,7d87d3feb6d5,mixed_plastic,plastic_abs_casing,collector,42.99,Thane,1401.47,1348.25,2026-02-02T18:20:00.000Z,train,true
TRN_000090,synthetic://images/motor_speaker_magnet/c5c577e13f57.jpg,c5c577e13f57,motor_magnet,motor_speaker_magnet,collector,1.61,Thane,105.9,101.88,2026-02-02T18:20:00.000Z,train,true
TRN_000091,synthetic://images/pcb_tv_low_grade/3aa716cf85e7.jpg,3aa716cf85e7,pcb,pcb_tv_low_grade,recycler_corrected,2.74,Thane,317.87,305.8,2026-02-02T18:20:00.000Z,train,true
TRN_000092,synthetic://images/battery_li_ion_laptop/5cfe2cec0d03.jpg,5cfe2cec0d03,battery,battery_li_ion_laptop,collector,2.85,Bengaluru Urban,692.4,702.96,2025-09-17T09:05:00.000Z,train,true
TRN_000093,synthetic://images/cable_aluminium/1e62977f8374.jpg,1e62977f8374,cable,cable_aluminium,collector,30.23,Thane,4741.23,4936.42,2026-02-18T13:23:00.000Z,train,true
TRN_000094,synthetic://images/plastic_abs_casing/156861f43def.jpg,156861f43def,mixed_plastic,plastic_abs_casing,collector,36.73,Mumbai Suburban,1367.18,1361.74,2026-04-09T15:59:00.000Z,train,true
TRN_000095,synthetic://images/battery_button_cell/f1d79a9ebe9b.jpg,f1d79a9ebe9b,battery,battery_button_cell,collector,10.94,Thane,1127.37,1116.21,2025-10-20T15:45:00.000Z,train,true
TRN_000096,synthetic://images/cable_data_thin/b0c84e3c48ee.jpg,b0c84e3c48ee,cable,cable_data_thin,recycler_corrected,7.31,Pune,944.23,,2025-12-16T17:09:00.000Z,train,true
TRN_000097,synthetic://images/cable_aluminium/59e097d23da0.jpg,59e097d23da0,cable,cable_aluminium,collector,9.41,Mumbai Suburban,1096.63,1183.41,2026-03-18T13:16:00.000Z,train,true
TRN_000098,synthetic://images/pcb_mobile/1554e98145c2.jpg,1554e98145c2,pcb,pcb_mobile,collector,0.2,Mumbai Suburban,203.49,219.59,2026-03-18T13:16:00.000Z,train,true
TRN_000099,synthetic://images/plastic_hips_tv/5aee67fab0fa.jpg,5aee67fab0fa,mixed_plastic,plastic_hips_tv,recycler_corrected,3.36,Mumbai Suburban,90.05,97.18,2026-03-18T13:16:00.000Z,val,true
TRN_000100,synthetic://images/lcd_monitor_panel/f629726de8a0.jpg,f629726de8a0,lcd_panel,lcd_monitor_panel,collector,7.95,Mumbai Suburban,180.05,170.78,2026-03-03T15:18:00.000Z,train,true
TRN_000101,synthetic://images/motor_speaker_magnet/94c70560b896.jpg,94c70560b896,motor_magnet,motor_speaker_magnet,collector,2,Mumbai Suburban,155.86,147.84,2026-03-03T15:18:00.000Z,train,true
TRN_000102,synthetic://images/pcb_motherboard/d9407ab4ece2.jpg,d9407ab4ece2,pcb,pcb_motherboard,collector,6.39,Mumbai Suburban,2349.6,2228.67,2026-03-03T15:18:00.000Z,train,true
TRN_000103,synthetic://images/cable_data_thin/d67a890116dd.jpg,d67a890116dd,cable,cable_data_thin,collector,16.98,Nashik,2138.46,2041.38,2026-08-24T12:00:00.000Z,val,true
TRN_000104,synthetic://images/battery_lead_acid_ups/e300839787b3.jpg,e300839787b3,battery,battery_lead_acid_ups,collector,32,Nashik,2475.84,2363.45,2026-08-24T12:00:00.000Z,train,true
TRN_000105,synthetic://images/pcb_cpu_processor/4b5bd9b74882.jpg,4b5bd9b74882,pcb,pcb_cpu_processor,collector,0.25,Nashik,972.9,928.74,2026-08-24T12:00:00.000Z,test,true
TRN_000106,synthetic://images/lcd_laptop_panel/1995ca2e151c.jpg,1995ca2e151c,lcd_panel,lcd_laptop_panel,collector,2.88,Nashik,108.02,98.17,2026-02-07T16:41:00.000Z,train,true
TRN_000107,synthetic://images/plastic_abs_casing/b7cde19a719e.jpg,b7cde19a719e,mixed_plastic,plastic_abs_casing,collector,29.37,Mumbai Suburban,464.82,519.07,2026-03-07T10:06:00.000Z,test,true
TRN_000108,synthetic://images/cable_data_thin/c6a5ccc8a372.jpg,c6a5ccc8a372,cable,cable_data_thin,collector,42.8,Mumbai Suburban,4342.4,4849.19,2026-03-07T10:06:00.000Z,val,true
TRN_000109,synthetic://images/cable_copper_house/35033384e477.jpg,35033384e477,cable,cable_copper_house,collector,2.02,Mumbai Suburban,754.16,842.18,2026-03-07T10:06:00.000Z,train,true
TRN_000110,synthetic://images/pcb_motherboard/f7cb48756ee7.jpg,f7cb48756ee7,pcb,pcb_motherboard,collector,0.82,Pune,270.41,248.52,2026-02-06T09:26:00.000Z,train,true
TRN_000111,synthetic://images/plastic_abs_casing/b6baeba41db2.jpg,b6baeba41db2,mixed_plastic,plastic_abs_casing,collector,36.33,Thane,974.15,986.64,2025-11-26T09:14:00.000Z,val,true
TRN_000112,synthetic://images/led_backlight_strip/afad4ad80c36.jpg,afad4ad80c36,lcd_panel,led_backlight_strip,recycler_corrected,23.47,Pune,2272.87,2288.27,2026-01-25T12:06:00.000Z,train,true
TRN_000113,synthetic://images/plastic_mixed_dirty/5e1093d28dd2.jpg,5e1093d28dd2,mixed_plastic,plastic_mixed_dirty,collector,5.48,Pune,66.36,66.81,2026-01-25T12:06:00.000Z,train,true
TRN_000114,synthetic://images/pcb_cpu_processor/fa6536903c9a.jpg,fa6536903c9a,pcb,pcb_cpu_processor,collector,0.2,Mumbai Suburban,695.86,,2026-02-04T19:10:00.000Z,train,true
TRN_000115,synthetic://images/cable_mixed_scrap/a4131cbe5d5b.jpg,a4131cbe5d5b,cable,cable_mixed_scrap,collector,21.25,Thane,4710.17,4307.49,2025-11-17T09:23:00.000Z,train,true
TRN_000116,synthetic://images/motor_small_appliance/cafe3cd3310b.jpg,cafe3cd3310b,motor_magnet,motor_small_appliance,collector,12.86,Thane,1706.65,1560.74,2025-11-17T09:23:00.000Z,train,true
TRN_000117,synthetic://images/motor_hdd_assembly/018dc99c9545.jpg,018dc99c9545,motor_magnet,motor_hdd_assembly,collector,4.01,Chhatrapati Sambhajinagar,947.68,,2026-04-14T19:34:00.000Z,val,true
TRN_000118,synthetic://images/plastic_mixed_dirty/9658d424ce37.jpg,9658d424ce37,mixed_plastic,plastic_mixed_dirty,collector,15.33,Pune,185.95,180.73,2026-02-16T14:03:00.000Z,train,true
TRN_000119,synthetic://images/led_backlight_strip/17075f78b5fd.jpg,17075f78b5fd,lcd_panel,led_backlight_strip,collector,23.36,Mumbai Suburban,2437.38,2352.95,2025-10-27T11:44:00.000Z,train,true
TRN_000120,synthetic://images/cable_aluminium/5d97df69582c.jpg,5d97df69582c,cable,cable_aluminium,collector,35.7,Mumbai Suburban,5087.96,4911.72,2025-10-27T11:44:00.000Z,train,true
TRN_000121,synthetic://images/pcb_motherboard/031f38db9675.jpg,031f38db9675,pcb,pcb_motherboard,collector,1.33,Mumbai Suburban,453.75,438.03,2025-10-27T11:44:00.000Z,train,true
TRN_000122,synthetic://images/cable_copper_house/37e19ca2f80f.jpg,37e19ca2f80f,cable,cable_copper_house,collector,29.03,Pune,11626.22,11367.87,2025-09-21T10:28:00.000Z,train,true
TRN_000123,synthetic://images/battery_lead_acid_ups/af1ae0ce1248.jpg,af1ae0ce1248,battery,battery_lead_acid_ups,collector,66.68,Pune,5135.07,5020.96,2025-09-21T10:28:00.000Z,val,true
TRN_000124,synthetic://images/motor_small_appliance/631ac92de790.jpg,631ac92de790,motor_magnet,motor_small_appliance,collector,6.43,Nagpur,708.07,,2026-01-20T07:13:00.000Z,train,true
TRN_000125,synthetic://images/cable_copper_house/e2ade78f8e6c.jpg,e2ade78f8e6c,cable,cable_copper_house,collector,44.47,Nagpur,16567.74,,2026-01-20T07:13:00.000Z,train,true
TRN_000126,synthetic://images/battery_lead_acid_ups/2656aff50db5.jpg,2656aff50db5,battery,battery_lead_acid_ups,collector,69.28,Bengaluru Urban,7489.06,6840.73,2026-03-17T14:42:00.000Z,val,true
TRN_000127,synthetic://images/motor_small_appliance/631ca5dbb11e.jpg,631ca5dbb11e,motor_magnet,motor_small_appliance,collector,12.02,Bengaluru Urban,1603.25,1464.46,2026-03-17T14:42:00.000Z,train,true
TRN_000128,synthetic://images/plastic_mixed_dirty/3b529ca3ca98.jpg,3b529ca3ca98,mixed_plastic,plastic_mixed_dirty,recycler_corrected,10.19,Bengaluru Urban,85.17,77.8,2026-03-17T14:42:00.000Z,test,true
TRN_000129,synthetic://images/plastic_abs_casing/4087f09ae018.jpg,4087f09ae018,mixed_plastic,plastic_abs_casing,collector,41.47,Pune,1363.95,1342.54,2026-08-21T18:11:00.000Z,train,true
TRN_000130,synthetic://images/battery_lead_acid_ups/33dd7a373438.jpg,33dd7a373438,battery,battery_lead_acid_ups,collector,73.54,Pune,6603.55,6990.44,2026-06-11T19:21:00.000Z,train,true
TRN_000131,synthetic://images/battery_li_ion_mobile/ec7c0c8ab718.jpg,ec7c0c8ab718,battery,battery_li_ion_mobile,collector,0.48,Pune,70.85,75,2026-06-11T19:21:00.000Z,test,true
TRN_000132,synthetic://images/battery_li_ion_laptop/fe7eb4f86579.jpg,fe7eb4f86579,battery,battery_li_ion_laptop,recycler_corrected,1.12,Pune,230.11,243.59,2026-06-11T19:21:00.000Z,train,true
