collectorId,phoneHash,preferredLanguage,operatingDistrict,operatingState,createdAt,lifetimeEarningsInr,pendingDuesInr,completedTransactions
COL_0022,syn_74f793c639999ba2f97d45c04521d81e1298a7b670ccb9d9beea413a,mr,Mumbai Suburban,Maharashtra,2025-12-29T00:00:00.000Z,40742.02,5334.47,23
COL_0023,syn_44e0221bd296f73fd03a74c4dd0a24f64cb7ef3dd903a878e7c266fc,mr,New Delhi,Delhi,2026-03-30T00:00:00.000Z,40957.07,0,8
COL_0024,syn_3b90d873316321801267b5153d4a14b9a70e745777ecc59bf78f03f5,mr,Mumbai Suburban,Maharashtra,2026-07-25T00:00:00.000Z,53646.91,1998.33,17
COL_0025,syn_891f228aa0e0a723bc68132d4287485679748b0b1fdb3c5655a50876,hi,Pune,Maharashtra,2026-01-09T00:00:00.000Z,74589.69,27237.32,19
COL_0026,syn_a01d0f0d9e9ed5f91e430c390543107c66ee97e42d462c19b7ff084b,hi,New Delhi,Delhi,2025-11-17T00:00:00.000Z,21324.42,7088.28,10
COL_0027,syn_81b94d6fb3389a5a3ea566eaa2563b8647f1f70af920b08d89013b3e,mr,Nashik,Maharashtra,2026-07-28T00:00:00.000Z,66832.59,12531.54,28
COL_0028,syn_6e1cfe7b2fa27477292efd855a99291d94dba820e3438df9829a0d88,hi,Mumbai Suburban,Maharashtra,2026-01-18T00:00:00.000Z,59339.86,5417.26,19
COL_0029,syn_9cfa991b92a6a96aef37ef1cb8ef038f91e37fe918b6001352f8c82f,hi,Mumbai Suburban,Maharashtra,2026-01-03T00:00:00.000Z,42995.6,501.54,12
COL_0030,syn_aa5e3010c318956de81fa9ee371241976177deffa55448e768fcfe22,mr,Nashik,Maharashtra,2025-12-05T00:00:00.000Z,45687.82,3762.08,19
COL_0031,syn_887f9e03619dfe25d8e740a92b58f049a9b425d01cb4c89d2c9555d6,hi,Mumbai Suburban,Maharashtra,2026-01-26T00:00:00.000Z,32962.3,2312.61,13
COL_0032,syn_36ef5cdbc91fba5dced0409cd7af37ef667e393df5d2e185c0f93ee1,mr,Mumbai Suburban,Maharashtra,2025-12-20T00:00:00.000Z,12530.41,4465.66,9
COL_0033,syn_e1c742e5362b0fd761090d5230227795b0f5bfc455a279fc48415886,mr,Thane,Maharashtra,2025-09-28T00:00:00.000Z,58088.45,3497.07,19
COL_0034,syn_c21cb480dcf0cd67afe12ace95637a28f354d26da638ef539344800f,hi,Pune,Maharashtra,2026-05-24T00:00:00.000Z,45759.59,6371.05,20
COL_0035,syn_6d44fa96ba1c7a0497f89611fcecf3fd7f67613c2b328cfa8687bfbb,hi,Mumbai Suburban,Maharashtra,2026-02-12T00:00:00.000Z,33803.6,11789.24,13
COL_0036,syn_72cfe813369c6e520572ff9cacf5f46521257e26a27cdf0a251038c7,mr,Mumbai Suburban,Maharashtra,2026-01-03T00:00:00.000Z,36177.07,14096.98,18
COL_0037,syn_1c1f98ddc776e58e4700b7f3e72cb6651b29f29d59360dbf8732f247,mr,Pune,Maharashtra,2026-07-05T00:00:00.000Z,95447.39,11585.51,18
COL_0038,syn_dc9c452aaf08e776a6ce19cf5f0129c7117761aa52464248f4729c99,mr,Nashik,Maharashtra,2026-05-10T00:00:00.000Z,48450.7,3930.04,19
COL_0039,syn_7b9f793d4c3817128232d85e0e01fbd278f02dffc7720a946ab2966c,en,Thane,Maharashtra,2025-10-07T00:00:00.000Z,63419.99,426,23
COL_0040,syn_918d66df8e9d26375213ee5c1d68a56d7f9f306acb050869c9ddf573,mr,Mumbai Suburban,Maharashtra,2026-03-22T00:00:00.000Z,75452.13,9410.3,24
COL_0041,syn_77a5909c14c17f9764ee3076cdf9a76d993b3005c59c0370d89ab6b4,mr,Bengaluru Urban,Karnataka,2025-11-21T00:00:00.000Z,54514.89,0,20
COL_0042,syn_1f56fdc0528b3dd82b466ab2ad438570ea91ed5bdbb3e16366d5cc68,hi,Pune,Maharashtra,2026-02-22T00:00:00.000Z,59359.46,10144.5,25
COL_0043,syn_0f1c7e7acc3dd579b7dd4cbf6b6f83d5a1f03c76d7915cde1a7909ac,mr,Pune,Maharashtra,2025-10-29T00:00:00.000Z,60782.68,12952.75,15
COL_0044,syn_14463674fb6607bd65d730f79fa3af42c8b1e0cc2c54b2a70f8d157f,hi,Pune,Maharashtra,2025-12-15T00:00:00.000Z,27015.78,12201.52,18
COL_0045,syn_8e6b7fa739b202cd28f4404237297eccefc95a431d2de9137e9a87a2,mr,Bengaluru Urban,Karnataka,2026-06-02T00:00:00.000Z,30021.56,33948.3,14
COL_0046,syn_d7bcaf802c3b84e7132a6faee41c5053320ae44ca8a0432aeab89de0,hi,Pune,Maharashtra,2026-01-11T00:00:00.000Z,36740.42,4753.61,21
COL_0047,syn_3234c4a783e6eab60f4be90e6e15de8ba91a34cb53c22491fcf72288,hi,New Delhi,Delhi,2026-04-15T00:00:00.000Z,16718.85,1893.36,7
COL_0048,syn_df299a65e6ed9d1c673f113e14bbbfc1d64e68ad915e57e7e5317f1e,hi,Thane,Maharashtra,2025-09-30T00:00:00.000Z,32517.21,7903.61,15
COL_0049,syn_8627bd49828cb63aad983cc4ba24239acc6b69de9808b0a4a87140f3,mr,New Delhi,Delhi,2026-06-19T00:00:00.000Z,47348.65,1136.28,7
COL_0050,syn_93596447f781a14ace3a0d2403baf51244dbc1f38d9890e2d3ac8bd4,hi,Pune,Maharashtra,2026-03-26T00:00:00.000Z,59890.15,13177.75,17
COL_0051,syn_5d0eafb2ae26a32b62c7e71001f4bbf032366245a756641a820b9709,hi,Mumbai Suburban,Maharashtra,2026-07-03T00:00:00.000Z,52372.81,9355.61,17
COL_0052,syn_82254449cb3037cdbd52dab88067e20690f749503638d0f0aa735c3a,hi,Bengaluru Urban,Karnataka,2026-04-08T00:00:00.000Z,57359.78,6567.92,16
COL_0053,syn_51f62e622870292a9a2adaa18bac95b9570fc79bd567be78dce218a8,hi,Nashik,Maharashtra,2025-09-14T00:00:00.000Z,50980.94,6114.43,17
COL_0054,syn_76c7295a0a8f54bbd345e6e74804015512b2fa195e62229f3cb9457e,hi,Pune,Maharashtra,2025-11-25T00:00:00.000Z,39739.14,7106.48,20
COL_0055,syn_63f49ddaf39b02ee3e3e57c2e1ded56f1c35f5099db276751131500f,hi,Mumbai Suburban,Maharashtra,2026-05-16T00:00:00.000Z,59822.98,8824.56,18
COL_0056,syn_741f8f57b9eb72812e19b05fb70baf429caa29b8e778e48e3ea96f02,mr,Mumbai Suburban,Maharashtra,2026-02-26T00:00:00.000Z,20716.59,8083.03,11
COL_0057,syn_ccd3576b488dd9a33c00e38c748edfb853877eacbdea0bcbb77bd36e,hi,Nagpur,Maharashtra,2026-05-22T00:00:00.000Z,12310.69,2291.13,6
COL_0058,syn_c9607d86b319bb363f70b54fc4ffe09f16a90427a1ca9e8c51c5a67b,en,New Delhi,Delhi,2026-07-02T00:00:00.000Z,14968.54,904.81,5
COL_0059,syn_5583c6fdaff9a654e7ed401bd54a14239688aed13961b95f9e265bd1,hi,Pune,Maharashtra,2026-07-21T00:00:00.000Z,53046.49,28390.88,27
COL_0060,syn_86f27276126857ef7e37ad5fd5e7e1026b18655ded7b35873623c475,mr,Nagpur,Maharashtra,2026-04-18T00:00:00.000Z,3725.14,2353.81,6
